,,,,,X,X,L,X,X,,,,,,,
,,,,X,O,O,P,O,O,X,,,,,,
,,,,X,O,O,O,O,O,X,,,,,,
,,,,X,O,O,O,O,O,X,,,,,,
,,,X,O,O,O,O,O,X,,,,,,,
,,X,O,O,O,O,O,X,,,,,,,,
,,X,O,O,O,O,O,X,,,,,,,,
,,X,O,O,O,O,O,X,,,,,,,,
,,X,O,O,O,O,O,X,,,,,,,,
,,X,O,O,O,O,O,X,,,,,,,,
,,X,O,O,O,O,O,X,,,,,,,,
,,,X,O,O,O,O,O,X,,,,,,,
,,,X,O,O,O,O,O,X,,,,,,,
,,,X,O,O,O,O,O,X,,,,,,,
,,,,X,O,O,O,O,O,X,,,,,,
,,,,X,O,O,O,O,O,X,,,,,,
,,,,X,O,O,O,O,O,X,,,,,,
,,,,,X,O,O,O,O,O,X,,,,,
,,,,,,X,O,O,O,O,O,X,,,,
,,,,,,,X,O,O,O,O,O,X,,,
,,,,,,,,X,O,O,O,O,O,X,,
,,,,,,,,,X,O,O,O,O,O,X,
,,,,,,,,,X,O,O,O,O,O,X,
,,,,,,,,,X,O,O,O,O,O,X,
,,,,,,,,,X,O,O,O,O,O,X,
,,,,,,,,,X,O,O,O,O,O,X,
,,,,,,,,,X,O,O,O,O,O,X,
,,,,,,,,X,O,O,O,O,O,X,,
,,,,,,,X,O,O,O,O,O,X,,,
,,,,,,,X,O,O,O,O,X,,,,
,,,,,,,X,O,O,O,X,,,,,
,,,,,,,,X,X,X,,,,,,
