,,,X,X,X,,,,,,,,,,,,,,X,X,X,,,,,
,,X,O,O,O,X,,,,,,,,,,,,X,O,O,O,X,,,,
,X,O,O,O,O,O,X,,,,,,,,,,X,O,O,O,O,O,X,,,
X,O,O,O,O,O,O,O,X,,,,,,,,X,O,O,O,O,O,O,O,X,,
X,O,O,O,O,O,O,O,X,,,,,,,,X,O,O,O,O,O,O,O,O,X,
X,O,O,O,O,O,O,O,O,X,,,,,,X,O,O,O,O,O,O,O,O,O,X,
X,O,O,O,O,O,O,O,O,O,X,X,L,X,X,O,O,O,O,O,O,O,O,O,O,X,
X,O,O,O,O,O,O,O,O,O,O,O,P,O,O,O,O,O,O,O,O,O,O,O,O,X,
X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,
X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,
X,O,O,O,O,O,O,O,O,O,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,X,
X,O,O,O,O,O,O,O,O,X,,,,,,X,O,O,O,O,O,O,O,O,O,X,
X,O,O,O,O,O,O,O,X,,,,,,,,X,O,O,O,O,O,O,O,O,X,
X,O,O,O,O,O,O,O,X,,,,,,,,X,O,O,O,O,O,O,O,X,,
,X,O,O,O,O,O,X,,,,,,,,,,X,O,O,O,O,O,X,,,
,,X,O,O,O,X,,,,,,,,,,,,X,O,O,O,X,,,,
,,,X,X,X,,,,,,,,,,,,,,X,X,X,,,,,
